,name,occurances,color,ppg
0,Brewer's Malt,132950,1.0879949814515066,36.768690247038506
1,Pale Ale Malt,67675,2.8652087181381605,37.1679335507159
2,Weyermann Pilsner Malt,43661,1.0970682546953734,37.16587295323086
3,Caramel Malt 60L,39870,59.79224981188864,33.88136166358415
4,Chocolate Malt,32716,380.5978114683947,31.30152604952421
5,Caramel Malt 40L,29352,39.99209593894794,33.85631946893025
6,Weyermann Munich Malt I,26743,6.396731610635354,35.96418055518626
7,Weyermann Carapils,24961,1.0081333386754276,34.27689989041077
8,Munich Malt 10L,23030,10.001563178462874,34.49061950027533
9,Weyermann Vienna Malt,22946,3.4481781729428174,35.690351240657535
10,Caramel Malt 20L,16372,20.06706572196433,34.301455344834835
11,Flaked Oats,15606,2.018391541172701,32.9095943393143
12,Caramel Malt 80L,14432,79.70579268292683,32.99396188728136
13,Pilsen Malt,13581,1.1361460864442972,36.36110676488268
14,Roasted Barley,12233,323.5434480503556,32.51196122265964
15,Pale Chocolate Malt,10957,189.77110522953362,32.55845035422129
16,Carapils Malt,10869,1.3565185389640262,32.943527276676846
17,"Wheat Malt, White",10469,2.0000955201069823,38.91886756426963
18,Caramel Malt 10L,9922,12.319725834089306,34.30547604939778
19,Weyermann Munich Malt II,9849,8.664737536805767,36.075127401521556
20,Dark Chocolate Malt,9700,414.4403092783505,32.03880684851305
21,White Wheat  (US),8549,2.0102936015908295,39.9057577087022
22,Caramel Malt 120L,8365,120.0,31.929846902220717
23,Goldpils Vienna Malt,7296,3.991776315789474,34.93428433999325
24,Victory® Malt,7171,27.99860549435225,33.929379301049444
25,Honey Malt,7039,23.035942605483733,36.51669989047355
26,Flaked Wheat,6938,2.0018737388296337,33.92505957850199
27,Rice Hulls,6916,1.8888888888888888,0.02020095169238812
28,Acidulated Malt (DE),6881,2.996802790292109,26.91632931504767
29,Special B (BE),6698,115.8744401313825,33.921324078278865
30,Wheat Malt (DE),6662,2.0310717502251574,36.91566001405042
31,Black Malt,6660,525.8906906906907,30.792041925319836
32,Victory (US),6651,28.009772966471207,33.92711779613641
33,Honey Malt (CA),6421,24.973212895187665,36.914129951283044
